text,actual,method,pred_label,pred_binary,category,confidence,score_toxic,rationale,latency,tokens_per_sec,valid_json,tries,raw_output
Just curious as to if he lives under a bridge...,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal curiosity without negativity.,2384.648323059082,12.58047138855062,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal curiosity without negativity.""}"
"Antifa and BLM don't have ""members.  They are movements, not groups or organizations. And yes, a white person can believe in the ideals they proffer.  Most white-supremacists likewise do not belong to an official group.",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Critique of ideologies and personal beliefs without resorting to insults or threats.,2830.0211429595947,13.780815771296455,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Critique of ideologies and personal beliefs without resorting to insults or threats.""}"
Silly boy.  The money will go to the state. but it's not about the money. Da Guv needs another opportunity to make an aspirational speech and the AG needs the visibility.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement with constructive intent.,2448.1990337371826,12.662369183553844,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement with constructive intent.""}"
"""a congressional supoena can't be ignored forever""  LOL... look at hillary clinton",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,"Normal disagreement without abuse, with lighthearted humor and acknowledgment of differing perspectives.",3229.3038368225098,12.696234876536783,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without abuse, with lighthearted humor and acknowledgment of differing perspectives.""}"
Everybody knows that even pu$$y gets ripe after a while.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal expression with factual basis.,2371.3929653167725,13.494178513650695,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal expression with factual basis.""}"
"What a selfish idiot; selfish that she would speed and drive recklessly, with no concern for the safety of others, idiot because she still didn't know which pedal was the brake, after she hit a car, and a boulder, and then a house. Obviously suspending her license didn't prevent her from still getting behind the wheel, with a passenger no less. There must be some other more effective way to prevent people from driving when they're not allowed. Enforcement seems lacking.",1,A_direct,TOXIC,1.0,other,0.85,0.85,Critique of driving safety with factual errors and personal attacks.,2687.335252761841,12.651938370941012,True,1," {""label"":""TOXIC"",""category"":""other"",""confidence"":0.85,""short_rationale"":""Critique of driving safety with factual errors and personal attacks.""}"
Modern Democracy. The Enlightenment. Read the *right* book.,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Positive affirmation with no negativity or insult.,2511.9540691375732,13.535279334017913,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Positive affirmation with no negativity or insult.""}"
"Step one now completed. Step two, the election and removal of the ridiculous NDP. Step three, deal with the ridiculous carbon tax. Step four, deal with the pipeline and the BC government. Step five, if Scheer doesn't deliver,Kenney takes over.",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal political discussion with consensus building.,2854.560375213623,11.210132487600742,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal political discussion with consensus building.""}"
"For full-time residents, I understand why vacation rental ""traffic"" would be less desirable than a long-term renter.  
Homeowner perspective: I really want to give back to the island I love so much, but the disparity between vacation renting and long-term renting one's home is huge.  Rental income; upkeep of home; flexibility of owner blocking time out for personal use (and maybe other reasons too).
So in my quest to avoid vacation renting, I advertised specifically for my ""ideal"" long term renter.  We have now forged a wonderful relationship....I have a well-maintained property that I can still use periodically.  The renter now has an affordable residence on the island.
Sooooo, instead of ""forcing"" owners to not rent short-term.  I would suggest long-term renters become organized and advertise themselves to the homeowners, emphasizing the benefits of renting long-term:  less people traffic, coordinating home maintenance, etc..there are many owners who feel as I do. Will never go back!",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Balanced and informative discussion about vacation rentals and long-term rentals.,3058.784008026123,12.423237436932313,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Balanced and informative discussion about vacation rentals and long-term rentals.""}"
Protestants can be made to feel welcome when they stop treating catholics like garbage.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without insult or hostility.,2497.0781803131104,13.215445259251798,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without insult or hostility.""}"
"""National medical organizations flooded MPs with e-mails and meeting requests in recent weeks in an effort to have members of the House of Commons finance committee amend a budget bill to remove a controversial clause.""

HAHAHA.  The Fools.  The should have held an LPC $1,500 a plate cash for access fundraiser and the Liberal Health Minister and half a dozen other Liberal MPs would have been there with bells on.",1,A_direct,TOXIC,1.0,threat,0.95,0.95,Aggressive and threatening language.,2323.439598083496,12.05109873443492,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive and threatening language.""}"""
"The issue is whether there should be a public comment period for each and every well permit NOT fracking an area in general. I agree there should be open discussion about allowing fracking in a new reservoir pool, but after that public discussion (assuming it's allowed) further public comment shouldn't be required about fracking each and every well afterward. That's a waste of time. And Cook Inletkeeper implied the AOGCC wasn't looking out for Alaska's interests which is nonsense.",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Critique of a proposed public comment process for well permit fracking.,3005.9823989868164,12.641457918319189,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Critique of a proposed public comment process for well permit fracking.""}"
the Danes were the bad ass Vikings.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Positive affirmation with factual basis.,2761.216163635254,11.589096290770184,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Positive affirmation with factual basis.""}"
"Of course raise taxes as it is the only way to save our state. What fool could possibly think of cutting spending to balance the budget ?  As far as being a sanctuary state status is concerned, only a dolt could want to change that law. It does not cost any money to teach in multiple languages . And with the schools doing such a bang up job who would want to make any changes short of giving them more money. I guess we could cut off some of the welfare programs and have our own citizens "" mow our yards, and pick our grapes"" but that would put some of our state welfare workers out of a job if they were too good at their jobs and doing it correctly. I thought those programs were temporary assistance not a way of life. 
Let the comments commence about what a racist hate monger this writer is. I will be shocked if the usual's do not reply about how horrible I must be. In my home we live within our budget and if we do not have enough we go without.",1,A_direct,TOXIC,1.0,hate,0.95,0.95,"Personal attack, discriminatory language, and attempt to incite hatred.",2884.3657970428467,12.134383244969564,True,1," {""label"":""TOXIC"",""category"":""hate"",""confidence"":0.95,""short_rationale"":""Personal attack, discriminatory language, and attempt to incite hatred.""}"
"Damn those young mothers driving their children to daycare through the snow drifts.

Why aren't they using their bicycles in the bicycle lanes that we paid multi million dollars for.",1,A_direct,TOXIC,1.0,insult,0.85,0.85,"Aggressive tone, accusatory language, and disparaging remark about a group of people.",3032.0065021514893,13.852213037866875,True,1,"
{""label"":""TOXIC"",""category"":""insult"",""confidence"":0.85,""short_rationale"":""Aggressive tone, accusatory language, and disparaging remark about a group of people.""}"
"it is easy to make accusations and spread conspiracy theories about corruption.  if callan has knowledge of corruption then expose it to the authorities.  it is totally irresponsible to make false accusations and create false conspiracies.  fake news.  further the forensic audit will only focus on internal operations, not on the contractors.  each contract there is a hart official that oversees the contracts to ensure the terms are being met and any cost overruns are duly supported.  kewitt the general contractor for the first 10 miles did not bid on the remainder of project citing that they lost money on their contract.  if they were making such a huge profit as you anti's claim, they would have bid on the remainder. there were some bad decisions made by hart but those were honest mistakes and those involved in those decisions will not be prosecuted for criminal conduct.  being stupid is not criminal.",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Balanced analysis of potential corruption issues with supporting arguments.,2903.517246246338,12.054345482276002,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Balanced analysis of potential corruption issues with supporting arguments.""}"
"Never heard of the Washington Times. 

Fake News anyone?",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without insult.,2863.544464111328,10.82574424407289,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without insult.""}"
Booze and tobacco are cool with the Christians. Even though they are associated with 300+ diseases.,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,No evidence of toxicity or hate expressed.,2501.4758110046387,13.591976324706085,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""No evidence of toxicity or hate expressed.""}"
"I hate to say it, but I don't see them doing a thing about it because Obama still walks on water!!",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without insult or toxicity.,2543.344259262085,12.975042556596124,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without insult or toxicity.""}"
Yep well done.  Keep it up. And JZ does need Jesus and he will be coming in 2019.,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Positive affirmation with no disrespect or negativity.,2511.3000869750977,13.140604012700466,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Positive affirmation with no disrespect or negativity.""}"
"Your father would give you a swift kick in your anti-American okole and tell you that you are to respect that man, he is our president of our United States of America!",1,A_direct,TOXIC,1.0,threat,0.95,0.95,Aggressive and intimidating language.,2276.937484741211,12.297219483468773,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive and intimidating language.""}"""
"Evil is your government sans the Bill of Rights. Duh. However, I'm not a Christian, so sell your evil nonsense down the road. But can you believe crime exists? Crazy, huh? And what's  even crazier is that the public and cops commit plenty of crimes. What should we do? But first, put your helmet on.",1,A_direct,TOXIC,1.0,threat,0.85,0.85,Aggressive and threatening language. Promotes fear and hatred.,2910.210132598877,11.33938736256489,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.85,""short_rationale"":""Aggressive and threatening language. Promotes fear and hatred.""}"
"Make no mistake, at this point, if you don't support President Trump, you support the Alt-Left and are an enemy of our Republic and everything the Founders envisioned/established.",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal political disagreement with factual basis.,2522.4509239196777,12.686074363847156,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal political disagreement with factual basis.""}"
"If it were a serious enough of an event that threatened us and there was nothing that could be done do we tell the public to kiss your ass goodbye? Think about it seriously, then look at what actually happened and is happening. We know there were 3 complete melt downs. We know much of it went into the environment, both air and sea. We know they are unable to contain it and it is continuing to spread. This is the most dangerous element to life. Better to be sceptical and demand proof, action, and national release from the top.",0,A_direct,TOXIC,1.0,threat,0.95,0.95,Aggressive and threatening language.,2413.972854614258,11.599136231577168,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive and threatening language.""}"""
This proposal is so idiotic that its failure is imminent.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Critique of the proposal's logic and feasibility.,2543.910026550293,13.758348225649423,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Critique of the proposal's logic and feasibility.""}"
"Not sure about the cooling housing market, in Kitchener - Waterloo the market is red hot.",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Informative statement about current market conditions.,2775.0961780548096,12.25182761911774,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Informative statement about current market conditions.""}"
"Forced genital mutilation isn't a problem?

Need more cases?

Where is your defense of the rights of women, children, homosexuals?",1,A_direct,DEFER,,other,0.0,0.5,Low confidence non-toxic decision.,2486.8123531341553,12.063636390655166,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.85,""short_rationale"":""Direct threat and generalization.""}"
